,sym,stock,open,high,low,close,volume
2019-12-31,2542,興富發,46.40,46.55,46.30,46.30,1546219
2019-12-30,2542,興富發,46.45,46.50,46.35,46.45,1170712
2019-12-27,2542,興富發,46.30,46.45,46.30,46.40,1621290
2019-12-26,2542,興富發,46.25,46.30,46.10,46.20,904477
2019-12-25,2542,興富發,46.25,46.40,46.15,46.20,1513871
2019-12-24,2542,興富發,45.70,46.15,45.70,46.15,7626365
2019-12-23,2542,興富發,45.65,46.25,45.55,45.55,7427388
2019-12-20,2542,興富發,45.90,45.95,45.45,45.45,8764059
2019-12-19,2542,興富發,46.00,46.00,45.70,45.90,3773435
2019-12-18,2542,興富發,46.20,46.25,46.00,46.00,3255069
2019-12-17,2542,興富發,46.25,46.40,46.10,46.25,2368281
2019-12-16,2542,興富發,46.25,46.40,46.20,46.25,1413140
2019-12-13,2542,興富發,46.25,46.35,46.15,46.25,1385203
2019-12-12,2542,興富發,46.05,46.40,46.05,46.35,1920490
2019-12-11,2542,興富發,46.10,46.15,46.00,46.05,2007409
2019-12-10,2542,興富發,46.20,46.25,46.00,46.05,3036269
2019-12-09,2542,興富發,46.55,46.55,46.20,46.30,2006421
2019-12-06,2542,興富發,46.60,46.70,46.50,46.60,1165173
2019-12-05,2542,興富發,46.60,46.70,46.50,46.55,1305199
2019-12-04,2542,興富發,46.55,46.70,46.45,46.60,1972495
2019-12-03,2542,興富發,46.55,46.70,46.55,46.70,1236876
2019-12-02,2542,興富發,46.60,46.80,46.55,46.55,1063257
2019-11-29,2542,興富發,46.60,46.80,46.50,46.55,1695456
2019-11-28,2542,興富發,46.85,47.00,46.50,46.50,1873790
2019-11-27,2542,興富發,46.50,46.95,46.50,46.80,2027148
2019-11-26,2542,興富發,46.65,46.85,46.20,46.20,5132435
2019-11-25,2542,興富發,46.55,46.75,46.50,46.75,1580124
2019-11-22,2542,興富發,46.60,46.65,46.55,46.55,1334462
2019-11-21,2542,興富發,46.80,46.80,46.60,46.60,2108819
2019-11-20,2542,興富發,46.90,47.00,46.80,46.85,1432129
2019-11-19,2542,興富發,46.75,46.95,46.70,46.90,1601499
2019-11-18,2542,興富發,47.00,47.05,46.80,46.85,1559351
2019-11-15,2542,興富發,46.80,46.95,46.70,46.95,1499032
2019-11-14,2542,興富發,46.70,46.95,46.55,46.55,2611813
2019-11-13,2542,興富發,46.70,47.05,46.50,46.50,2063411
2019-11-12,2542,興富發,46.90,47.00,46.55,46.90,2519468
2019-11-11,2542,興富發,47.00,47.05,46.70,46.70,2813207
2019-11-08,2542,興富發,47.30,47.35,47.05,47.05,1660061
2019-11-07,2542,興富發,47.30,47.60,47.20,47.25,1612133
2019-11-06,2542,興富發,47.10,47.55,46.95,47.45,2940778
2019-11-05,2542,興富發,47.10,47.15,46.65,47.10,2601112
2019-11-04,2542,興富發,47.00,47.15,46.80,47.10,2773598
2019-11-01,2542,興富發,46.80,46.95,46.70,46.95,1752181
2019-10-31,2542,興富發,46.85,47.20,46.75,46.75,2879731
2019-10-30,2542,興富發,46.75,47.05,46.75,46.85,3008259
2019-10-29,2542,興富發,47.00,47.10,46.75,46.80,1969841
2019-10-28,2542,興富發,47.25,47.30,46.80,47.00,2737448
2019-10-25,2542,興富發,47.50,47.55,47.10,47.25,1551797
2019-10-24,2542,興富發,47.60,47.60,47.20,47.50,2568040
2019-10-23,2542,興富發,47.00,47.95,47.00,47.50,4077790
2019-10-22,2542,興富發,47.00,47.15,46.95,47.00,3799214
2019-10-21,2542,興富發,46.20,46.80,46.10,46.75,5034748
2019-10-18,2542,興富發,45.80,45.90,45.65,45.90,4241836
2019-10-17,2542,興富發,46.00,46.20,45.75,45.80,3018625
2019-10-16,2542,興富發,46.10,46.20,46.00,46.00,3036441
2019-10-15,2542,興富發,45.80,45.95,45.75,45.95,2877153
2019-10-14,2542,興富發,45.70,45.95,45.55,45.65,3589615
2019-10-09,2542,興富發,45.40,45.65,45.30,45.30,3224305
2019-10-08,2542,興富發,45.70,45.70,45.25,45.40,4497768
2019-10-07,2542,興富發,45.70,45.85,45.65,45.75,2806312
2019-10-04,2542,興富發,46.05,46.05,45.20,45.70,5932044
2019-10-03,2542,興富發,45.80,46.30,45.55,46.05,12748548
2019-10-02,2542,興富發,45.00,46.15,45.00,45.90,74324931
2019-10-01,2542,興富發,49.95,50.00,49.80,49.95,41018231
2019-09-27,2542,興富發,49.75,50.00,49.75,49.90,35755259
2019-09-26,2542,興富發,49.80,49.90,49.70,49.80,5941292
2019-09-25,2542,興富發,49.70,49.95,49.65,49.80,3263205
2019-09-24,2542,興富發,49.70,49.85,49.65,49.65,3031219
2019-09-23,2542,興富發,49.65,50.00,49.65,49.80,2295423
2019-09-20,2542,興富發,50.00,50.00,49.80,49.80,3300695
2019-09-19,2542,興富發,50.10,50.20,49.90,49.95,2017496
2019-09-18,2542,興富發,50.20,50.20,50.00,50.00,2686821
2019-09-17,2542,興富發,50.30,50.30,50.00,50.20,2463274
2019-09-12,2542,興富發,49.50,49.60,49.35,49.40,2282170
2019-09-11,2542,興富發,49.60,49.65,49.35,49.50,2773450
2019-09-10,2542,興富發,49.70,49.80,49.60,49.75,1686832
2019-09-09,2542,興富發,49.50,49.70,49.45,49.70,1262454
2019-09-06,2542,興富發,49.30,49.55,49.20,49.30,1385950
2019-09-05,2542,興富發,49.20,49.50,49.20,49.25,1468122
2019-09-04,2542,興富發,49.20,49.45,49.20,49.20,1513975
2019-09-03,2542,興富發,49.50,49.50,49.25,49.25,1392934
2019-09-02,2542,興富發,49.45,49.50,49.40,49.50,912860
2019-08-30,2542,興富發,49.15,49.50,49.10,49.50,2582624
2019-08-29,2542,興富發,49.35,49.40,49.05,49.05,1929947
2019-08-28,2542,興富發,48.50,49.40,48.50,49.40,1933830
2019-08-27,2542,興富發,48.85,49.00,48.40,48.40,4160275
2019-08-26,2542,興富發,49.00,49.00,48.80,48.80,2119890
2019-08-23,2542,興富發,48.90,49.20,48.90,49.20,2089094
2019-08-22,2542,興富發,48.65,49.05,48.65,48.90,1687437
2019-08-21,2542,興富發,48.60,48.75,48.50,48.65,2359235
2019-08-20,2542,興富發,48.75,48.90,48.60,48.60,1777519
2019-08-19,2542,興富發,48.85,48.90,48.60,48.75,2175948
2019-08-16,2542,興富發,48.95,49.00,48.50,48.80,2382328
2019-08-15,2542,興富發,48.35,49.15,48.20,48.95,3011714
2019-08-14,2542,興富發,48.50,48.65,48.35,48.35,1883178
2019-08-13,2542,興富發,48.20,48.40,48.10,48.35,1160646
2019-08-12,2542,興富發,48.10,48.55,48.05,48.25,1249997
2019-08-08,2542,興富發,48.40,48.45,48.10,48.20,1286402
2019-08-07,2542,興富發,48.10,48.30,48.00,48.00,1617436
2019-08-06,2542,興富發,48.00,48.35,47.70,48.10,2167626
2019-08-05,2542,興富發,48.30,48.75,48.20,48.20,2066318
2019-08-02,2542,興富發,48.50,48.50,48.35,48.40,2218602
2019-08-01,2542,興富發,48.70,48.75,48.55,48.60,1745808
2019-07-31,2542,興富發,48.95,49.00,48.80,48.80,2215771
2019-07-30,2542,興富發,48.95,49.10,48.95,48.95,939260
2019-07-29,2542,興富發,49.00,49.10,48.95,48.95,1287847
2019-07-26,2542,興富發,48.85,49.10,48.80,49.10,1013540
2019-07-25,2542,興富發,49.00,49.00,48.80,48.90,1205046
2019-07-24,2542,興富發,49.00,49.15,48.90,48.90,2457285
2019-07-23,2542,興富發,49.25,49.25,49.00,49.05,1752250
2019-07-22,2542,興富發,49.50,49.50,49.25,49.25,1267034
2019-07-19,2542,興富發,49.50,49.55,49.40,49.50,1129396
2019-07-18,2542,興富發,49.20,49.40,49.10,49.40,719580
2019-07-17,2542,興富發,49.20,49.30,49.05,49.20,1347122
2019-07-16,2542,興富發,49.25,49.25,49.00,49.20,1123791
2019-07-15,2542,興富發,49.15,49.25,48.90,49.25,1558305
2019-07-12,2542,興富發,49.40,49.40,49.10,49.15,1503728
2019-07-11,2542,興富發,49.50,49.55,49.40,49.45,1051081
2019-07-10,2542,興富發,49.45,49.65,49.35,49.55,1341372
2019-07-09,2542,興富發,49.55,49.55,49.30,49.45,856710
2019-07-08,2542,興富發,49.65,49.65,49.30,49.40,1213460
2019-07-05,2542,興富發,49.80,49.90,49.55,49.65,1005803
2019-07-04,2542,興富發,49.45,49.75,49.40,49.75,700612
2019-07-03,2542,興富發,49.65,49.65,49.30,49.30,973277
2019-07-02,2542,興富發,49.55,49.65,49.30,49.65,1404737
2019-07-01,2542,興富發,49.50,49.75,49.50,49.60,1086682
2019-06-28,2542,興富發,49.75,49.80,49.45,49.45,1442210
