date,precipitation,temp_max,temp_min,wind,weather
2012/1/1,0,12.8,5,4.7,drizzle
2012/1/2,10.9,10.6,2.8,4.5,rain
2012/1/3,0.8,11.7,7.2,2.3,rain
2012/1/4,20.3,12.2,5.6,4.7,rain
2012/1/5,1.3,8.9,2.8,6.1,rain
2012/1/6,2.5,4.4,2.2,2.2,rain
2012/1/7,0,7.2,2.8,2.3,rain
2012/1/8,0,10,2.8,2,sun
2012/1/9,4.3,9.4,5,3.4,rain
2012/1/10,1,6.1,0.6,3.4,rain
2012/1/11,0,6.1,-1.1,5.1,sun
2012/1/12,0,6.1,-1.7,1.9,sun
2012/1/13,0,5,-2.8,1.3,sun
2012/1/14,4.1,4.4,0.6,5.3,snow
2012/1/15,5.3,1.1,-3.3,3.2,snow
2012/1/16,2.5,1.7,-2.8,5,snow
2012/1/17,8.1,3.3,0,5.6,snow
2012/1/18,19.8,0,-2.8,5,snow
2012/1/19,15.2,-1.1,-2.8,1.6,snow
2012/1/20,13.5,7.2,-1.1,2.3,snow
2012/1/21,3,8.3,3.3,8.2,rain
2012/1/22,6.1,6.7,2.2,4.8,rain
2012/1/23,0,8.3,1.1,3.6,rain
2012/1/24,8.6,10,2.2,5.1,rain
2012/1/25,8.1,8.9,4.4,5.4,rain
2012/1/26,4.8,8.9,1.1,4.8,rain
2012/1/27,0,6.7,-2.2,1.4,drizzle
2012/1/28,0,6.7,0.6,2.2,rain
2012/1/29,27.7,9.4,3.9,4.5,rain
2012/1/30,3.6,8.3,6.1,5.1,rain
2012/1/31,1.8,9.4,6.1,3.9,rain
2012/2/1,13.5,8.9,3.3,2.7,rain
2012/2/2,0,8.3,1.7,2.6,sun
2012/2/3,0,14.4,2.2,5.3,sun
2012/2/4,0,15.6,5,4.3,sun
2012/2/5,0,13.9,1.7,2.9,sun
2012/2/6,0,16.1,1.7,5,sun
2012/2/7,0.3,15.6,7.8,5.3,rain
2012/2/8,2.8,10,5,2.7,rain
2012/2/9,2.5,11.1,7.8,2.4,rain
2012/2/10,2.5,12.8,6.7,3,rain
2012/2/11,0.8,8.9,5.6,3.4,rain
2012/2/12,1,8.3,5,1.3,rain
2012/2/13,11.4,7.2,4.4,1.4,rain
2012/2/14,2.5,6.7,1.1,3.1,rain
2012/2/15,0,7.2,0.6,1.8,drizzle
2012/2/16,1.8,7.2,3.3,2.1,rain
2012/2/17,17.3,10,4.4,3.4,rain
2012/2/18,6.4,6.7,3.9,8.1,rain
2012/2/19,0,6.7,2.2,4.7,sun
2012/2/20,3,7.8,1.7,2.9,rain
2012/2/21,0.8,10,7.8,7.5,rain
2012/2/22,8.6,10,2.8,5.9,rain
2012/2/23,0,8.3,2.8,3.9,sun
2012/2/24,11.4,6.7,4.4,3.5,rain
2012/2/25,0,7.2,2.8,6.4,rain
2012/2/26,1.3,5,-1.1,3.4,snow
2012/2/27,0,6.7,-2.2,3,sun
2012/2/28,3.6,6.7,-0.6,4.2,snow
2012/2/29,0.8,5,1.1,7,snow
2012/3/1,0,6.1,1.1,3.1,sun
2012/3/2,2,6.7,3.9,5.1,rain
2012/3/3,0,12.2,6.7,7,sun
2012/3/4,0,10.6,6.7,5.6,rain
2012/3/5,6.9,7.8,1.1,6.2,rain
2012/3/6,0.5,6.7,0,2.7,snow
2012/3/7,0,8.9,-1.7,2.7,sun
2012/3/8,0,15.6,0.6,2.5,sun
2012/3/9,3.6,9.4,5,2.8,rain
2012/3/10,10.4,7.2,6.1,3.4,rain
2012/3/11,13.7,6.7,2.8,5.8,rain
2012/3/12,19.3,8.3,0.6,6.2,snow
2012/3/13,9.4,5.6,0.6,5.3,snow
2012/3/14,8.6,7.8,1.1,4.7,rain
2012/3/15,23.9,11.1,5.6,5.8,snow
2012/3/16,8.4,8.9,3.9,5.1,rain
2012/3/17,9.4,10,0.6,3.8,snow
2012/3/18,3.6,5,-0.6,2.7,rain
2012/3/19,2,7.2,-1.1,3,rain
2012/3/20,3.6,7.8,2.2,6.4,rain
2012/3/21,1.3,8.9,1.1,2.5,rain
2012/3/22,4.1,10,1.7,2.1,rain
2012/3/23,0,12.2,0.6,2.8,sun
2012/3/24,0,15,3.3,5.2,sun
2012/3/25,0,13.3,2.2,2.7,rain
2012/3/26,0,12.8,6.1,4.3,drizzle
2012/3/27,4.8,14.4,6.7,3.8,rain
2012/3/28,1.3,10.6,7.2,5.9,rain
2012/3/29,27.4,10,6.1,4.4,rain
2012/3/30,5.6,9.4,5,4.7,rain
2012/3/31,13.2,10,2.8,3.4,rain
2012/4/1,1.5,8.9,4.4,6.8,rain
2012/4/2,0,16.7,4.4,3.1,sun
2012/4/3,1.5,11.7,3.3,3.1,rain
2012/4/4,0,10.6,2.8,2.1,sun
2012/4/5,4.6,9.4,2.8,1.8,snow
2012/4/6,0.3,11.1,3.3,2.6,rain
2012/4/7,0,16.1,1.7,4.3,sun
2012/4/8,0,21.1,7.2,4.1,sun
2012/4/9,0,20,6.1,2.1,sun
2012/4/10,0,17.8,8.9,3.2,rain
2012/4/11,2.3,11.1,7.2,2.6,rain
2012/4/12,0.5,13.9,5.6,2.6,rain
2012/4/13,0,15,3.9,4,drizzle
2012/4/14,0,15.6,3.3,3,sun
2012/4/15,0,16.1,7.2,2.9,rain
2012/4/16,8.1,13.3,6.7,5.8,rain
2012/4/17,1.8,10,4.4,2,rain
2012/4/18,1.8,13.3,7.2,3.9,rain
2012/4/19,10.9,13.9,5,2.6,rain
2012/4/20,6.6,13.3,6.7,2.7,rain
2012/4/21,0,20,4.4,2.3,sun
2012/4/22,0,23.3,8.3,2.6,rain
2012/4/23,0,21.7,8.9,3.5,sun
2012/4/24,4.3,13.9,10,2.8,rain
2012/4/25,10.7,16.7,8.9,2.6,rain
2012/4/26,3.8,13.9,6.7,5.2,rain
2012/4/27,0.8,13.3,6.1,4.8,rain
2012/4/28,0,16.1,8.3,2.5,drizzle
2012/4/29,4.3,15.6,8.9,1.6,rain
2012/4/30,4.3,12.8,7.2,8,rain
2012/5/1,0.5,11.7,6.1,6.4,rain
2012/5/2,0.5,13.3,5.6,2.5,rain
2012/5/3,18.5,11.1,7.2,3.4,rain
2012/5/4,1.8,12.2,6.1,4.6,rain
2012/5/5,0,13.3,5,2.3,sun
2012/5/6,0,17.8,5,2.4,sun
2012/5/7,0,23.9,6.1,2.2,sun
2012/5/8,0,18.3,9.4,3,sun
2012/5/9,0,13.3,6.7,3.9,rain
2012/5/10,0,14.4,3.9,3,sun
2012/5/11,0,18.3,4.4,4.3,sun
2012/5/12,0,24.4,6.7,3.4,sun
2012/5/13,0,25.6,9.4,4.2,sun
2012/5/14,0,26.7,12.8,3.8,sun
2012/5/15,0,24.4,9.4,4.1,drizzle
2012/5/16,0,19.4,9.4,3.5,sun
2012/5/17,0,17.8,6.7,2.9,rain
2012/5/18,0,15.6,7.8,3.1,rain
2012/5/19,0,19.4,7.2,1.5,sun
2012/5/20,6.4,14.4,11.7,1.3,rain
2012/5/21,14,16.7,10,4,rain
2012/5/22,6.1,12.8,8.9,4.8,rain
2012/5/23,0.3,14.4,8.9,6.3,rain
2012/5/24,0,17.2,8.9,3.3,rain
2012/5/25,0,22.2,8.9,3.1,rain
2012/5/26,0,22.2,8.9,3.6,sun
2012/5/27,0,17.2,11.7,3.7,sun
2012/5/28,0,16.7,10,3.4,rain
2012/5/29,0,16.1,7.8,1.8,sun
2012/5/30,0.3,18.9,11.1,1.5,rain
2012/5/31,3.8,17.8,12.2,2.7,rain
