CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,29081,1396,1538,36
713901108,Existing Customer,37,M,2,High School,Single,$60K - $80K,Blue,29,6,4,14575,0,3444,80
709513458,Existing Customer,49,M,3,High School,Unknown,$60K - $80K,Blue,36,3,2,9551,1833,3213,52
711421233,Existing Customer,51,M,3,High School,Single,$60K - $80K,Blue,43,5,3,7119,1513,4969,84
714037308,Existing Customer,54,M,2,High School,Married,$60K - $80K,Blue,50,3,3,2210,1002,4798,86
708568983,Existing Customer,40,M,3,High School,Married,$60K - $80K,Blue,28,2,1,11476,2365,8110,113
716004258,Existing Customer,45,M,4,High School,Single,$60K - $80K,Blue,35,1,3,8449,2092,17634,120
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,2,8256,864,1291,33
814995933,Existing Customer,58,F,3,Graduate,Married,Less than $40K,Blue,53,5,2,5798,1794,1724,45
787599258,Existing Customer,55,F,3,Graduate,Single,Less than $40K,Blue,29,6,2,7361,1309,1175,34
711466533,Existing Customer,43,F,2,Graduate,Married,Less than $40K,Blue,33,5,2,3933,852,1489,45
788701608,Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,26,5,3,2950,1705,1260,32
708098133,Existing Customer,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,0,2834,1418,1598,39
770937183,Existing Customer,40,F,4,Graduate,Single,Less than $40K,Silver,27,3,2,10745,2084,3502,87
720580383,Existing Customer,50,F,3,Graduate,Married,Less than $40K,Blue,37,3,4,1438.3,0,3637,80
719655258,Existing Customer,64,M,0,Graduate,Single,Less than $40K,Blue,36,3,4,3196,0,3412,72
720527058,Existing Customer,39,F,1,Graduate,Single,Less than $40K,Blue,24,4,3,2310,1306,4343,74
721522533,Existing Customer,48,F,4,Graduate,Single,Less than $40K,Blue,35,6,2,2005,1143,4311,70
794653983,Existing Customer,44,F,3,Graduate,Married,Less than $40K,Blue,27,3,4,1480,1017,5245,80
779447358,Existing Customer,50,F,2,Graduate,Married,Less than $40K,Blue,32,3,4,2884,2104,4486,93
719849958,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,4,3,2658,1884,4779,83
710555433,Attrited Customer,42,F,4,Graduate,Single,Less than $40K,Blue,36,6,2,2803,0,2216,40
716313858,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,36,6,0,3319,913,4560,84
780222408,Existing Customer,49,F,5,Graduate,Unknown,Less than $40K,Blue,36,1,2,3272,2085,4444,83
771546708,Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue,34,2,1,1438.3,0,5013,81
710260983,Existing Customer,51,F,4,Graduate,Divorced,Less than $40K,Blue,36,2,2,2984,2512,8296,91
767695083,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Blue,44,3,0,4589,0,1590,37
710043408,Existing Customer,49,M,3,Graduate,Married,$80K - $120K,Blue,37,4,4,15610,2048,1916,58
719688408,Existing Customer,45,M,3,Graduate,Married,$80K - $120K,Silver,36,6,3,34516,0,3530,68
772031733,Existing Customer,40,M,4,Graduate,Single,$80K - $120K,Blue,29,5,2,14315,690,2603,56
771196083,Existing Customer,47,M,4,Graduate,Married,$80K - $120K,Blue,34,6,3,18178,0,1837,37
814776033,Existing Customer,34,M,2,Graduate,Single,$80K - $120K,Blue,29,3,3,13395,1678,2650,69
826068183,Existing Customer,36,M,1,Graduate,Married,$80K - $120K,Blue,32,4,3,15488,1463,2916,50
827049558,Existing Customer,47,M,2,Graduate,Unknown,$80K - $120K,Blue,43,3,2,2158,1170,4421,89
787593558,Existing Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,34,6,0,4562,2258,3740,55
710413533,Existing Customer,56,M,2,Graduate,Married,$80K - $120K,Blue,51,3,3,12186,1080,4785,66
711953358,Existing Customer,51,M,2,Graduate,Married,$80K - $120K,Blue,35,4,2,6205,2264,4605,88
788687133,Existing Customer,42,M,2,Graduate,Married,$80K - $120K,Blue,31,2,1,16433,0,13678,125
721294533,Existing Customer,48,M,4,Graduate,Married,$80K - $120K,Blue,34,1,1,34516,738,15143,121
718225683,Existing Customer,56,M,1,Graduate,Single,$80K - $120K,Silver,49,5,2,34516,1091,15274,108
811898133,Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue,35,3,3,2555,2117,1334,32
714363858,Existing Customer,54,F,4,High School,Married,Less than $40K,Blue,36,3,3,1594,1411,1459,35
719318583,Attrited Customer,37,M,3,High School,Married,Less than $40K,Blue,26,3,4,6866,2389,862,13
715822008,Existing Customer,32,M,1,High School,Married,Less than $40K,Blue,14,4,2,3568,2175,1913,35
708238833,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,36,6,3,3032,2215,1387,30
712141683,Existing Customer,48,F,3,High School,Single,Less than $40K,Blue,28,4,1,2944,753,3457,61
717986058,Existing Customer,29,F,0,High School,Single,Less than $40K,Blue,13,6,5,5240,1608,2712,64
718358808,Existing Customer,57,F,2,High School,Divorced,Less than $40K,Blue,50,5,5,3276,0,3758,61
823635033,Existing Customer,49,F,2,High School,Married,Less than $40K,Blue,45,6,5,8353,1535,4200,83
778839108,Existing Customer,50,F,3,High School,Married,Less than $40K,Blue,31,3,4,6292,0,3687,74
789097833,Existing Customer,39,F,0,High School,Single,Less than $40K,Blue,27,4,3,3927,720,4230,93
708515358,Existing Customer,40,F,1,High School,Married,Less than $40K,Blue,36,6,2,4712,0,4216,82
789396783,Existing Customer,30,F,0,High School,Single,Less than $40K,Blue,20,3,4,2112,1109,4729,78
719742108,Attrited Customer,38,F,1,High School,Single,Less than $40K,Blue,26,5,4,3554,0,2372,44
715009833,Existing Customer,51,F,1,High School,Married,Less than $40K,Blue,36,3,2,1857,1033,5149,90
716961033,Existing Customer,48,F,3,High School,Single,Less than $40K,Blue,40,1,3,3520,2149,3630,78
772364358,Existing Customer,54,F,2,High School,Unknown,Less than $40K,Blue,44,1,1,2691,811,4413,80
708340758,Attrited Customer,41,M,4,High School,Married,Less than $40K,Blue,32,2,3,7769,0,8109,74
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,5,0,23603,0,1382,31
712890408,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,2,2221,1343,1338,30
787464408,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,5,2,19116,0,1184,29
809976033,Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue,44,6,0,7819,1560,1582,25
711857733,Existing Customer,49,M,3,Uneducated,Single,$60K - $80K,Blue,32,3,2,18584,2517,1330,34
710801133,Existing Customer,34,M,2,Uneducated,Married,$60K - $80K,Blue,36,6,2,8581,2326,2513,63
783387783,Existing Customer,55,M,2,Uneducated,Divorced,$60K - $80K,Blue,49,4,3,10127,1873,1647,53
712730583,Existing Customer,29,M,0,Uneducated,Married,$60K - $80K,Blue,20,5,3,8592,1201,1842,50
715055433,Existing Customer,36,M,3,Uneducated,Married,$60K - $80K,Blue,22,6,4,2224,1772,2004,44
717038733,Existing Customer,56,M,3,Uneducated,Married,$60K - $80K,Blue,36,5,3,2253,1375,1324,38
719273733,Existing Customer,37,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,5,7959,998,1855,29
719484408,Existing Customer,39,M,3,Uneducated,Married,$60K - $80K,Blue,36,6,4,4759,1459,2903,57
801989733,Existing Customer,55,M,2,Uneducated,Single,$60K - $80K,Blue,48,6,2,7667,1193,3915,76
778386033,Existing Customer,38,M,3,Uneducated,Married,$60K - $80K,Blue,18,6,4,3417,1749,2068,34
716037708,Existing Customer,50,M,0,Uneducated,Divorced,$60K - $80K,Blue,39,6,3,9474,1021,3240,54
818903583,Existing Customer,44,M,5,Uneducated,Divorced,$60K - $80K,Blue,39,5,0,16034,1597,3628,59
772472208,Existing Customer,50,M,1,Uneducated,Married,$60K - $80K,Blue,40,6,4,4092,996,2298,48
710871108,Existing Customer,45,M,5,Uneducated,Divorced,$60K - $80K,Silver,36,4,4,31756,1459,4759,70
712606158,Existing Customer,47,M,4,Uneducated,Married,$60K - $80K,Blue,42,4,2,5715,1214,3685,63
